InputName,MatchedEDGARName,Score,CIK,Ticker,Candidates
Fox Corporation (Class A),Fox Corp,90.0,0001754301,FOXA,90.0:Fox Corp (FOXA/0001754301) | 90.0:Fox Corp (FOX/0001754301) | 85.5:DEUTSCHE LUFTHANSA A G /FI (DLAKY/0001049724) | 85.5:TURKCELL ILETISIM HIZMETLERI A S (TKC/0001071321) | 85.5:ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR (AEBZY/0001174511)
Fox Corporation (Class B),Fox Corp,90.0,0001754301,FOXA,90.0:Fox Corp (FOXA/0001754301) | 90.0:Fox Corp (FOX/0001754301) | 85.5:HUNT J B TRANSPORT SERVICES INC (JBHT/0000728535) | 85.5:FOX FACTORY HOLDING CORP (FOXF/0001424929) | 85.5:SANFILIPPO JOHN B & SON INC (JBSS/0000880117)
GE Aerospace,GE HealthCare Technologies Inc.,85.5,0001932393,GEHC,"85.5:GE HealthCare Technologies Inc. (GEHC/0001932393) | 85.5:Vertical Aerospace Ltd. (EVTL/0001867102) | 85.5:Vertical Aerospace Ltd. (EVTWF/0001867102) | 82.75862068965517:Bridger Aerospace Group Holdings, Inc. (BAER/0001941536) | 82.75862068965517:Bridger Aerospace Group Holdings, Inc. (BAERW/0001941536)"
GE HealthCare,GE HealthCare Technologies Inc.,90.0,0001932393,GEHC,"90.0:GE HealthCare Technologies Inc. (GEHC/0001932393) | 86.4:Definitive Healthcare Corp. (DH/0001861795) | 86.4:Nano Mobile Healthcare, Inc. (VNTH/0001497130) | 85.5:OMEGA HEALTHCARE INVESTORS INC (OHI/0000888491) | 85.5:American Healthcare REIT, Inc. (AHR/0001632970)"
Hartford (The),"HARTFORD INSURANCE GROUP, INC.",90.0,0000874766,HIG,"90.0:HARTFORD INSURANCE GROUP, INC. (HIG/0000874766) | 90.0:Hartford Creative Group, Inc. (HFUS/0001482554) | 90.0:HARTFORD INSURANCE GROUP, INC. (HIG-PG/0000874766) | 70.58823529411764:Heartflow, Inc. (HTFL/0001464521) | 68.4:Weatherford International plc (WFRD/0001603923)"
Honeywell,HONEYWELL INTERNATIONAL INC,90.0,0000773840,HON,"90.0:HONEYWELL INTERNATIONAL INC (HON/0000773840) | 80.0:XWELL, Inc. (XWEL/0001410428) | 72.0:Webull Corp (BULL/0001866364) | 72.0:Honest Company, Inc. (HNST/0001530979) | 72.0:LGL GROUP INC (LGL/0000061004)"
IDEX Corporation,IDEXX LABORATORIES INC /DE,90.0,0000874716,IDXX,90.0:IDEXX LABORATORIES INC /DE (IDXX/0000874716) | 90.0:IDEX CORP /DE/ (IEX/0000832101) | 90.0:IRIDEX CORP (IRIX/0001006045) | 90.0:IDEX METALS CORP. (IDXMF/0002067171) | 77.14285714285715:Hilton Worldwide Holdings Inc. (HLT/0001585689)
J.B. Hunt,HUNT J B TRANSPORT SERVICES INC,85.5,0000728535,JBHT,"85.5:HUNT J B TRANSPORT SERVICES INC (JBHT/0000728535) | 77.14285714285715:UNIT CORP (UNTC/0000798949) | 77.14285714285715:UNIT CORP (UNTCW/0000798949) | 72.0:NFT Ltd (MI/0001958713) | 68.4:Hub Group, Inc. (HUBG/0000940942)"
Johnson Controls,Johnson Controls International plc,90.0,0000833444,JCI,"90.0:Johnson Controls International plc (JCI/0000833444) | 85.5:Zhejiang Sanhua Intelligent Controls Co., Ltd./ADR (ZSICY/0002076398) | 75.0:JOHNSON OUTDOORS INC (JOUT/0000788329) | 73.88888888888889:JOHNSON & JOHNSON (JNJ/0000200406) | 73.28571428571429:Sony Group Corp (SONY/0000313838)"
KeyCorp,KE Holdings Inc.,90.0,0001809587,BEKE,90.0:KE Holdings Inc. (BEKE/0001809587) | 90.0:KEYCORP /NEW/ (KEY/0000091576) | 90.0:KEYCORP /NEW/ (KEY-PK/0000091576) | 90.0:KEYCORP /NEW/ (KEY-PJ/0000091576) | 90.0:KEYCORP /NEW/ (KEY-PI/0000091576)
L3Harris,"L3HARRIS TECHNOLOGIES, INC. /DE/",90.0,0000202058,LHX,"90.0:L3HARRIS TECHNOLOGIES, INC. /DE/ (LHX/0000202058) | 77.14285714285715:Harrison Global Holdings Inc. (BLMZ/0001984014) | 77.14285714285715:Harrison Street Infrastructure Income Fund (VCRDX/0001812286) | 77.14285714285715:Harrison Street Real Assets Fund LLC (VCRRX/0001687898) | 77.14285714285715:Harrison Street Real Estate Fund LLC (VCMIX/0001515001)"
Lennar,LENNAR CORP /NEW/,90.0,0000920760,LEN,"90.0:LENNAR CORP /NEW/ (LEN/0000920760) | 90.0:NN INC (NNBR/0000918541) | 90.0:LENNAR CORP /NEW/ (LEN-B/0000920760) | 83.33333333333334:LENSAR, Inc. (LNSR/0001320350) | 80.0:LEAR CORP (LEA/0000842162)"
Lowe's,LOWES COMPANIES INC,90.0,0000060667,LOW,90.0:LOWES COMPANIES INC (LOW/0000060667) | 80.0:LOEWS CORP (L/0000060086) | 72.0:WELLTOWER INC. (WELL/0000766704) | 72.0:WILLIS TOWERS WATSON PLC (WTW/0001140536) | 72.0:Owens Corning (OC/0001370946)
LyondellBasell,LyondellBasell Industries N.V.,90.0,0001489393,LYB,90.0:LyondellBasell Industries N.V. (LYB/0001489393) | 80.0:Shell plc (SHEL/0001306965) | 80.0:Shell plc (RYDAF/0001306965) | 72.0:LGL GROUP INC (LGL/0000061004) | 72.0:LGL GROUP INC (LGL-WT/0000061004)
Marsh McLennan,NN INC,90.0,0000918541,NNBR,"90.0:NN INC (NNBR/0000918541) | 85.5:MARSH & MCLENNAN COMPANIES, INC. (MMC/0000062709) | 77.14285714285715:MARA Holdings, Inc. (MARA/0001507605) | 75.00000000000001:TENNANT CO (TNC/0000097134) | 75.00000000000001:Pennant Group, Inc. (PNTG/0001766400)"
Masco,MASCO CORP /DE/,90.0,0000062996,MAS,"90.0:MASCO CORP /DE/ (MAS/0000062996) | 80.0:MACOM Technology Solutions Holdings, Inc. (MTSI/0001493594) | 80.0:Masonglory Ltd (MSGY/0002020228) | 72.72727272727273:WATSCO INC (WSO/0000105016) | 72.72727272727273:MASTEC INC (MTZ/0000015615)"
Mettler Toledo,METTLER TOLEDO INTERNATIONAL INC/,90.0,0001037646,MTD,"90.0:METTLER TOLEDO INTERNATIONAL INC/ (MTD/0001037646) | 72.0:CME GROUP INC. (CME/0001156375) | 72.0:Leidos Holdings, Inc. (LDOS/0001336920) | 72.0:DOW INC. (DOW/0001751788) | 72.0:Metalert, Inc. (MLRT/0001375793)"
MGM Resorts,MGM Resorts International,90.0,0000789570,MGM,"90.0:MGM Resorts International (MGM/0000789570) | 85.5:HOST HOTELS & RESORTS, INC. (HST/0001070750) | 85.5:WYNDHAM HOTELS & RESORTS, INC. (WH/0001722684) | 85.5:Melco Resorts & Entertainment LTD (MLCO/0001381640) | 85.5:United Parks & Resorts Inc. (PRKS/0001564902)"
Moody's Corporation,MOODYS CORP /DE/,90.0,0001059556,MCO,"90.0:MOODYS CORP /DE/ (MCO/0001059556) | 77.14285714285715:MOOG INC. (MOG-A/0000067887) | 77.14285714285715:Mogo Inc. (MOGO/0001602842) | 77.14285714285715:MOOG INC. (MOG-B/0000067887) | 72.0:TYSON FOODS, INC. (TSN/0000100493)"
News Corp (Class A),NEWS CORP,90.0,0001564708,NWSA,90.0:NEWS CORP (NWSA/0001564708) | 90.0:NEWS CORP (NWS/0001564708) | 90.0:NEWS CORP (NWSAL/0001564708) | 85.5:DEUTSCHE LUFTHANSA A G /FI (DLAKY/0001049724) | 85.5:TURKCELL ILETISIM HIZMETLERI A S (TKC/0001071321)
News Corp (Class B),NEWS CORP,90.0,0001564708,NWSA,90.0:NEWS CORP (NWSA/0001564708) | 90.0:NEWS CORP (NWS/0001564708) | 90.0:NEWS CORP (NWSAL/0001564708) | 85.5:HUNT J B TRANSPORT SERVICES INC (JBHT/0000728535) | 85.5:SANFILIPPO JOHN B & SON INC (JBSS/0000880117)
Old Dominion,"OLD DOMINION FREIGHT LINE, INC.",90.0,0000878927,ODFL,"90.0:OLD DOMINION FREIGHT LINE, INC. (ODFL/0000878927) | 90.0:NIO Inc. (NIO/0001736541) | 90.0:NI Holdings, Inc. (NODK/0001681206) | 90.0:NIO Inc. (NIOIF/0001736541) | 85.5:TORONTO DOMINION BANK (TD/0000947263)"
Oneok,ONEOK INC /NEW/,90.0,0001039684,OKE,"90.0:ONEOK INC /NEW/ (OKE/0001039684) | 72.0:Aon plc (AON/0000315293) | 72.0:ONECONNECT FINANCIAL TECHNOLOGY CO., LTD. (OCFT/0001780531) | 72.0:OneConstruction Group Ltd (ONEG/0002030834) | 72.0:OneSolution Technology Inc. (KRFG/0000774415)"
Paycom,"Paycom Software, Inc.",90.0,0001590955,PAYC,"90.0:Paycom Software, Inc. (PAYC/0001590955) | 83.33333333333334:BayCom Corp (BCML/0001730984) | 77.14285714285715:UPAY (UPYY/0001677897) | 75.00000000000001:AVALONBAY COMMUNITIES INC (AVB/0000915912) | 75.00000000000001:monday.com Ltd. (MNDY/0001845338)"
